Submission id,prolificid,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ad43383c5fec7e0da05421,59bbd2d4178f1b0001828bbb,APPROVED,2023-07-11T11:55:41.197000Z,2023-07-11T12:23:32.320000Z,2023-07-13T17:18:01.739000,2023-07-11T12:23:32.817558Z,1672,NOCODE,581,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad433d8bc40e5ec65739cc,62a8375ef5d3cb6960e4ed2e,APPROVED,2023-07-11T11:55:47.706000Z,2023-07-11T12:23:30.311000Z,2023-07-13T17:18:01.857000,2023-07-11T12:23:30.767575Z,1663,NOCODE,239,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad433e795cf1fce612223f,644e0227c62cb87bccd10084,APPROVED,2023-07-11T11:55:46.953000Z,2023-07-11T12:21:52.904000Z,2023-07-13T17:18:02.009000,2023-07-11T12:21:53.482943Z,1566,NOCODE,109,English,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad43421c452cd8021d1568,5d6d48982b4a3a0019143d8a,APPROVED,2023-07-11T11:55:53.599000Z,2023-07-11T12:28:47.110000Z,2023-07-13T17:18:02.185000,2023-07-11T12:28:47.570968Z,1974,NOCODE,194,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad4343ed4d614bfe63e227,5a95935889de8200013ed605,APPROVED,2023-07-11T11:55:52.527000Z,2023-07-11T12:14:56.633000Z,2023-07-13T17:18:02.304000,2023-07-11T12:14:57.109717Z,1145,NOCODE,302,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad4347b3f211b1c107fa2c,6413576801f8a1fbe97aa6d7,APPROVED,2023-07-11T11:55:54.972000Z,2023-07-11T12:20:57.528000Z,2023-07-13T17:18:02.434000,2023-07-11T12:20:58.021724Z,1503,NOCODE,179,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ad434fdc3fd95462ff6e66,5af15fc9e1b5b8000148a99d,APPROVED,2023-07-11T11:56:04.498000Z,2023-07-11T12:19:40.912000Z,2023-07-13T17:18:02.553000,2023-07-11T12:19:41.566430Z,1417,NOCODE,524,English,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64ad4359c754948d475fae3f,62b6ded74322ef992b784ce0,APPROVED,2023-07-11T11:56:24.326000Z,2023-07-11T12:28:02.551000Z,2023-07-13T17:18:02.679000,2023-07-11T12:28:02.983781Z,1899,NOCODE,293,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ad436037910f475cd83e25,63d7f17bc657e6dc9e481a9a,APPROVED,2023-07-11T11:56:24.783000Z,2023-07-11T12:21:37.413000Z,2023-07-13T17:18:02.796000,2023-07-11T12:21:37.833902Z,1513,NOCODE,274,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ad43609b8883629258b9ad,64834734de8b29afa2f68359,APPROVED,2023-07-11T11:56:24.822000Z,2023-07-11T12:17:08.353000Z,2023-07-13T17:18:02.926000,2023-07-11T12:17:15.493740Z,1244,NOCODE,26,"Arabic, English",53,Female,Other,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
